Cost Center;Name;Company Code;Profit Center;Profit Center Name;Functional Area;PC Only;Segment
1002000001;COMMERCIAL ADMIN;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000002;ECONOMICS & PLANNING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000003;PROD. SUPPLY & DIST.;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000004;TRADING & SUPPLY;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000005;HR FACILITIES -G&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000006;BOARD OF DIRECTORS;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000007;EXECUTIVE;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000008;GENERAL ADMIN;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000009;INTERNAL AUDIT;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000010;INVESTOR RELATIONS;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000011;ACCOUNTING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000012;ACQUIS. & INTEGRA.;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000013;CREDIT;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000014;FP&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000015;Cybersecurity;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000016;NETWORK ENGINEERING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000017;HR RECRUIT&RELO -G&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000018;IT;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000019;HR LEARNING&DEV-G&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000020;MIDDLE OFFICE;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000021;SUPPLY CHAIN;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000022;TREASURY;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000023;HR CORPORATE - G&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000024;LEGAL;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000025;PUBLIC AFFAIRS;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000026;RISK MANAGEMENT;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000027;STRATEGIC PLANNING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000028;BUS. TRANSFORMATION;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000029;CAPITAL PROJECTS;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000030;ENVIRONMENTAL  H&S;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000031;REFINING SPLIT;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000032;DK PERMIAN GATHERING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000033;HYD. LOSS CONTROL;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000034;RAIL;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000035;TRUCKING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000036;BRANDED WHOLESALE;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000037;RETAIL ADMIN;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000038;DKL PAYROLL;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000039;Brentwood Office Mov;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000040;GENERAL ADMIN (OPEX);1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB30 (OPEX BELOW COS);10020001;Corporate
1002000041;CONSORTIUM COST - DK;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB40 (G&A; D&A IN COS)";10020001;Corporate
1002000042;SUM OF THE PARTS;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000043;Data & Analytics;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000044;Office of the CTO;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000045;REF GEN OPERATING;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000046;DK New Energies;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000047;EXECUTIVE - OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000048;HR LEARNING&DEV-OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000049;IT - OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000050;UNBRANDED WHOLESALE;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000051;HR - COMM&ENG -G&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB40 (G&A; D&A IN COS)";10020001;Corporate
1002000052;PROJECT GATEWAY G&A;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000053;RETAIL TSA;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Corporate
1002000054;ECON & PLANNING OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000055;HR CORPORATE - OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000056;HR RECRUIT&RELO-OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000057;HR FACILITIES -OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000058;HR - COMM&ENG -OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000059;PROJECT GATEWAY OPEX;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000060;TYR SUPPLY CHAIN OP;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000061;EDR SUPPLY CHAIN OP;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000062;KSR SUPPLY CHAIN OP;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000063;BSR SUPPLY CHAIN OP;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Corporate
1002000064;Refine IT-OPEX Split;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;YB20 (OPEX IN COS);10020001;Refining
1002000065;Refine IT-G&A Split;1710 (Delek US Holdings, Inc.);10020001 (DELEK US ENERGY, INC);DELEK US ENERGY, INC;"YB50 (G&A; D&A BELOW COS)";10020001;Refining
1004000001;Alon US GP;1710 (Delek US Holdings, Inc.);10040001 (Alon US GP);Alon US GP;"YB50 (G&A; D&A BELOW COS)";10040001;Corporate
1005000001;NATURAL GAS;1710 (Delek US Holdings, Inc.);10051001 (DK Trading & Supply);DK Trading & Supply;YB20 (OPEX IN COS);10051001;Refining
1005000002;DK CANADA;1710 (Delek US Holdings, Inc.);10052003 (DELEK CANADA ENERGY);DELEK CANADA ENERGY;"YB40 (G&A; D&A IN COS)";10052003;Corporate
1005000003;HEDGING;1710 (Delek US Holdings, Inc.);10051002 (Hedging);Hedging;"YB50 (G&A; D&A BELOW COS)";10051002;Refining
1005000004;CRUDE SUPPLY & TRADI;1710 (Delek US Holdings, Inc.);10051003 (Crude Wholesale-US);Crude Wholesale-US;"YB50 (G&A; D&A BELOW COS)";10051003;Refining
1005000005;MARRERO - BUCKEYE;1710 (Delek US Holdings, Inc.);10051016 (SLURRY OPS);SLURRY OPS;"YB50 (G&A; D&A BELOW COS)";10051016;Refining
1005000006;GALENA PARK MAGELLAN;1710 (Delek US Holdings, Inc.);10051016 (SLURRY OPS);SLURRY OPS;"YB50 (G&A; D&A BELOW COS)";10051016;Refining
1005000007;CENTRIFUGE - KSR;1710 (Delek US Holdings, Inc.);10051016 (SLURRY OPS);SLURRY OPS;"YB50 (G&A; D&A BELOW COS)";10051016;Refining
