G/L Acct External ID;G/L Account Long Text;G/L Account Type;FS Item;FS Item Name;Financial Statement Line Item;Account Grouping
61002000;3rd party material;Primary Costs or Revenue;560300;Maintenance & Repairs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Maintenance & Repairs Expense
61004000;Travel Expenses - Meals;Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61004010;Travel Expenses - Meals & Ent (Non-Deduct);Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61005000;Travel Expenses - Ground Transportation;Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61005500;Fully Deductible - Lodging;Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61007000;Travel Expenses - Airfare, Rail, Mileage;Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61008000;Travel Expenses - Miscellaneous;Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61008500;Non Deductible - Other Travel;Primary Costs or Revenue;560800;Travel & Entertaiment;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Travel & Entertainment
61010000;Payroll - Salaried Labor;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61021000;Payroll - Overtime Salaries;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61021100;Payroll - Hourly Labor;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61021110;Payroll - Hourly Temp Help;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61022000;Payroll - Vacation Pay Salaries;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61023000;Payroll - Overtime Wages;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61023100;Hourly Temp Help - Overtime;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61024000;CAPitalized Labor - Contra;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61024100;Labor COSt;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61025000;Bonus;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61026000;Bonus - Other;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61027000;Payroll - Severance;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61050000;Cash Discounts Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
61050005;PDI Merchandise Inv Adj;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
61050007;PDI Merchandise Audit Adj;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
61052000;Group Insurance;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61060000;401K/NQDF Match Expense;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61061000;Casualty;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61063000;Dues to Associations;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61065000;Incentive Plan Expense;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61099999;Labor Allocation (Co Only);Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61100000;Payroll Expense - Salaries;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
61101000;Payroll Expense - Other salary-related expenses;Primary Costs or Revenue;560000;Wages and salaries and other benefit costs;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Employee Expense
